aspect,n_terms,total_value,avg_value,top_terms
기타,117,88.85812803762985,0.7594711798088022,"[('클렌징', 2.9326), ('리얼베리어', 2.3893), ('밀크', 1.9943), ('있어서', 1.9219), ('클렌징밀크', 1.6982), ('생각보다', 1.5596), ('믿고', 1.5341), ('만족합니다', 1.5138)]"
여행/휴대,28,22.662358963025095,0.8093699629651819,"[('여행용으로', 4.2144), ('작아서', 1.9193), ('체험', 1.5095), ('여행갈때', 1.2193), ('휴대용으로', 1.0614), ('여행', 0.8916), ('체험 딜로', 0.7477), ('사이즈가', 0.693)]"
가격/딜,12,8.646133908520323,0.7205111590433603,"[('저렴하게', 2.0497), ('가격에', 0.8721), ('체험 딜로', 0.7477), ('딜로', 0.7477), ('저렴한', 0.6003), ('저렴한 가격에', 0.6003), ('배송이빨라좋네요 저렴한가격에잘샀어요', 0.5774), ('저렴한가격에잘샀어요', 0.5774)]"
배송,12,8.474442733985349,0.7062035611654457,"[('배송', 1.9069), ('빠른 배송', 0.7656), ('빠른배송', 0.7143), ('빨라서', 0.6943), ('배송이 빨라서', 0.5781), ('배송이', 0.5781), ('배송이빨라좋네요', 0.5774), ('배송이빨라좋네요 저렴한가격에잘샀어요', 0.5774)]"
자극/민감,7,7.170855380678346,1.024407911525478,"[('자극', 2.0055), ('자극 없음', 1.4217), ('자극이', 1.0919), ('순하고', 0.9844), ('자극 없이', 0.7929), ('피부에 자극 없음', 0.4372), ('피부에 자극', 0.4372)]"
세정력,9,6.263377102017078,0.6959307891130087,"[('세정력이', 1.1378), ('선크림', 0.8557), ('지워지고', 0.853), ('선크림도', 0.6541), ('선크림만', 0.6216), ('촉촉한데세정력이좋아서사봅니다 좋아요굳', 0.5774), ('촉촉한데세정력이좋아서사봅니다', 0.5774), ('세정력', 0.5118)]"
보습/당김,8,5.483936304036213,0.6854920380045266,"[('촉촉', 1.4661), ('촉촉해요', 0.746), ('촉촉잘씻깁니다', 0.5912), ('촉촉잘씻깁니다 번창하세요', 0.5912), ('촉촉한데세정력이좋아서사봅니다 좋아요굳', 0.5774), ('촉촉한데세정력이좋아서사봅니다', 0.5774), ('촉촉한', 0.4869), ('촉촉니', 0.4477)]"
재구매/본품,7,5.085345914414613,0.7264779877735161,"[('주문했어요', 0.9402), ('본품', 0.8845), ('싶어서 주문했어요', 0.8212), ('사려고', 0.6389), ('구입할게요', 0.6147), ('좋으면 구입할게요', 0.6147), ('주문했습니다', 0.5712)]"
사용감/제형,4,2.853624031866494,0.7134060079666235,"[('부드럽게', 1.0496), ('부드럽고', 0.812), ('클렌징 오일', 0.496), ('오일', 0.496)]"
