term,score,aspect
여행용으로,4.214399395309319,여행/휴대
클렌징,2.9326192202409733,기타
리얼베리어,2.3892519789787694,기타
저렴하게,2.0496552808514235,가격/딜
자극,2.0054716327011324,자극/민감
밀크,1.9942889057925612,기타
있어서,1.9219109909183498,기타
작아서,1.919309064538643,여행/휴대
배송,1.9068720651587023,배송
클렌징밀크,1.6982407213116184,기타
생각보다,1.5596483126994625,기타
믿고,1.5340851915994915,기타
만족합니다,1.5137885020617996,기타
체험,1.509473363206159,여행/휴대
촉촉,1.4661498801739026,보습/당김
없음,1.455230017036708,기타
자극 없음,1.4217371484717045,자극/민감
쓰기,1.2607685702204372,기타
피부에,1.2200235418857162,기타
여행갈때,1.2192818949074877,여행/휴대
싶어서,1.2133359686535696,기타
처음,1.1752616297579903,기타
크기가,1.1536899550863613,기타
세정력이,1.1378300958303276,세정력
구매했습니다,1.1256279044461246,기타
자극이,1.0918504397830282,자극/민감
좋으면,1.0751369987726136,기타
휴대용으로,1.0613907995302148,여행/휴대
부드럽게,1.0495602231657564,사용감/제형
순하고,0.9844248863370255,자극/민감
없이,0.9765393692065845,기타
클렌징 밀크,0.9750176299726094,기타
주문했어요,0.9402284458623724,재구매/본품
순한,0.9349273524852734,기타
이중,0.9272260946781474,기타
빠른,0.9055693153947895,기타
좋았으면,0.9017175713455574,기타
여행,0.8916132657389111,여행/휴대
본품,0.8845154053353522,재구매/본품
같아서,0.8825337401646696,기타
가격에,0.8721094839508172,가격/딜
선크림,0.8556532421810502,세정력
지워지고,0.8529922334224918,세정력
피부가,0.845100142370397,기타
쓰고,0.8307802338739668,기타
크기도,0.8264354093860651,기타
싶어서 주문했어요,0.8211917330257845,재구매/본품
밀크는,0.8163938822978867,기타
잘샀어요,0.8140653339400947,기타
없어서,0.8140613006713242,기타
부드럽고,0.8120235342161585,사용감/제형
리얼베리어라,0.8078812834035549,기타
자극 없이,0.7928847148636239,자극/민감
클렌징밀크로,0.7896314088892664,기타
클렌징이,0.7860255152600236,기타
클렌징밀크를,0.7825497090597311,기타
브랜드,0.7720378177588438,기타
좋을,0.7694543710307473,기타
마침,0.7694037761147289,기타
좋겠어요,0.7662420688505354,기타
빠른 배송,0.7656174315577023,배송
체험 딜로,0.7476706301265716,여행/휴대
체험 딜로,0.7476706301265716,가격/딜
딜로,0.7476706301265716,가격/딜
클렌징밀크는,0.7460847248844071,기타
촉촉해요,0.7460448713831378,보습/당김
구매해봤어요,0.743696221962916,기타
없고,0.738688489427559,기타
구매했는데,0.7341085127714767,기타
제품은,0.7335083281876924,기타
않고,0.733327654425678,기타
번창하세요,0.7228962776456944,기타
평소,0.7195575459991187,기타
빠른배송,0.7142812823453308,배송
사용하는데,0.7132714009024956,기타
무난하게,0.7080804256463993,기타
마음에,0.7047944040894978,기타
클렌징밀크도,0.7012250417386693,기타
빨라서,0.6942614134327174,배송
사이즈가,0.6930388809073228,여행/휴대
작고,0.6908778809605234,여행/휴대
피부,0.6695708055629939,기타
말안해도,0.6668289301822897,기타
들어요,0.6667585165208904,기타
여행용으로 대만족입니다,0.6666212772069992,여행/휴대
대만족입니다,0.6666212772069992,기타
사이즈네요,0.6630058805949746,여행/휴대
쓰겠습니다,0.6578797602041744,기타
사용해보고,0.6576354039107676,기타
싶었는데,0.656200062876795,기타
클렌징밀크는 처음,0.6548478189519362,기타
빠르네요,0.6541702872822781,기타
선크림도,0.6540710078563157,세정력
항상,0.6457719266132507,기타
클렌징 밀크는,0.6451619694865749,기타
잘쓸게요,0.6396119035695842,기타
사려고,0.6388900911013069,재구매/본품
좋았으면 좋겠어요,0.6378409269477374,기타
세안,0.6364650492702767,기타
써보진,0.6288350753452192,기타
선크림만,0.6215786468846909,세정력
구입할게요,0.6146783633518031,재구매/본품
좋으면 구입할게요,0.6146783633518031,재구매/본품
구매할게요,0.60060605682028,기타
저렴한,0.6003083642502405,가격/딜
저렴한 가격에,0.6003083642502405,가격/딜
느낌이,0.5970491300160733,기타
밀크가,0.5946340265327132,기타
클렌징 밀크가,0.5946340265327132,기타
제품이,0.5945810514295786,기타
작아요,0.5914992480432603,여행/휴대
촉촉잘씻깁니다,0.5912424571791419,보습/당김
촉촉잘씻깁니다 번창하세요,0.5912424571791419,보습/당김
쓰는,0.5901614217139957,기타
싸게,0.5853095212274424,기타
사용해,0.5817945607140911,기타
괜찮으면,0.5810940859473543,기타
배송이 빨라서,0.5781133522068723,배송
배송이,0.5781133522068723,배송
작아서 여행용으로,0.5774192905142372,여행/휴대
배송이빨라좋네요,0.5773502691896257,배송
배송이빨라좋네요 저렴한가격에잘샀어요,0.5773502691896257,가격/딜
배송이빨라좋네요 저렴한가격에잘샀어요,0.5773502691896257,배송
촉촉한데세정력이좋아서사봅니다 좋아요굳,0.5773502691896257,보습/당김
촉촉한데세정력이좋아서사봅니다 좋아요굳,0.5773502691896257,세정력
촉촉한데세정력이좋아서사봅니다,0.5773502691896257,보습/당김
촉촉한데세정력이좋아서사봅니다,0.5773502691896257,세정력
저렴한가격에잘샀어요,0.5773502691896257,가격/딜
좋아요굳,0.5773502691896257,기타
주문했습니다,0.57116351238619,재구매/본품
사용전이지만,0.5697218909503885,기타
여행용,0.5697071871218612,여행/휴대
바로,0.5693306700476868,기타
사이즈,0.5688448536094516,여행/휴대
엄청,0.5687198202815696,기타
좋았어요,0.5676180549462628,기타
않아서,0.5632138035422257,기타
있었어요,0.5555147774649762,기타
다시,0.5551779344110465,기타
배송도,0.5538990685556875,배송
같아,0.5523423876161899,기타
빨라요,0.5462335553319435,배송
배송 빨라요,0.5462335553319435,배송
용량이,0.5436955243571178,기타
용량이 작아서,0.5436955243571178,여행/휴대
그래서,0.5364861690094292,기타
순해서,0.5359227576661643,기타
맘에,0.519705713076702,기타
좋다고,0.5147356123865204,기타
여행가서,0.5135480660772695,여행/휴대
사용전이라,0.513093871849248,기타
세정력,0.5117630645876179,세정력
밀크 사보고,0.5101225927095431,기타
밀크 사보고 싶었는데,0.5101225927095431,기타
사보고 싶었는데,0.5101225927095431,기타
사보고,0.5101225927095431,기타
한번,0.5067418421457719,기타
기회로,0.5066066318641103,기타
리얼베리어라 믿고,0.5017318093503287,기타
궁금해서,0.5016785057321623,기타
용량을,0.500859573877694,기타
클렌징 오일,0.49602013724228955,사용감/제형
오일,0.49602013724228955,사용감/제형
갈때,0.4938585595586692,기타
사용해볼 있어서,0.4933156417201766,기타
사용해볼,0.4933156417201766,기타
제품으로,0.49217654432312896,기타
생각보다 크기가,0.49044483789077575,기타
촉촉한,0.4868578100945298,보습/당김
맞으면,0.4864231411219609,기타
가격도,0.4843386565690027,가격/딜
사이즈로,0.48364234827849706,여행/휴대
여행용으로 쓰기,0.4826576018927802,여행/휴대
구매해서,0.48145982694089706,기타
없어요,0.47644320034850346,기타
체험해볼,0.47512725457605826,여행/휴대
메이크업,0.4747882728753323,세정력
타사,0.4695284100334485,기타
쓰고 있어서,0.4674807631375658,기타
저렴하게 사용해볼 있어서,0.4674700533047646,가격/딜
저렴하게 사용해볼,0.4674700533047646,가격/딜
다니기,0.46608635290667066,기타
쓰는데,0.4629216193033208,기타
생각보다 작아서,0.46260400004458613,여행/휴대
행사,0.4544318534066749,가격/딜
써볼까합니다,0.45243424341521216,기타
구매해봤습니다,0.4515308831841517,기타
구매합니다,0.4514211628093384,기타
여행용으로 크기도,0.44848642376864534,여행/휴대
크기도 작고,0.44848642376864534,여행/휴대
여행용으로 크기도 작고,0.44848642376864534,여행/휴대
촉촉니,0.44769828964710734,보습/당김
샘플로,0.4444777578609231,여행/휴대
이벤트로,0.44386001173573997,기타
같습니다,0.443304384940916,기타
좋구요,0.44233140877199734,기타
여행용으로 좋구요,0.44233140877199734,여행/휴대
크기도 여행용으로,0.44233140877199734,여행/휴대
크기도 여행용으로 좋구요,0.44233140877199734,여행/휴대
얼굴에,0.4402741961722402,기타
유통기한,0.43897485882660753,기타
피부에 자극 없음,0.4372432792609157,자극/민감
피부에 자극,0.4372432792609157,자극/민감
빨라서 잘샀어요,0.43611711947832527,배송
