w1,w2,support,count
N11,N21,0.027755102040816326,34
N33,N40,0.026938775510204082,33
N06,N38,0.025306122448979593,31
N01,N28,0.024489795918367346,30
N10,N31,0.024489795918367346,30
N12,N24,0.024489795918367346,30
N03,N13,0.0236734693877551,29
N03,N20,0.0236734693877551,29
N03,N24,0.0236734693877551,29
N14,N15,0.0236734693877551,29
N15,N34,0.0236734693877551,29
N19,N21,0.0236734693877551,29
N24,N27,0.0236734693877551,29
N34,N42,0.0236734693877551,29
N37,N40,0.0236734693877551,29
N03,N27,0.022857142857142857,28
N13,N33,0.022857142857142857,28
N30,N34,0.022857142857142857,28
N01,N03,0.022040816326530613,27
N06,N28,0.022040816326530613,27
N07,N18,0.022040816326530613,27
N08,N27,0.022040816326530613,27
N08,N39,0.022040816326530613,27
N12,N15,0.022040816326530613,27
N12,N34,0.022040816326530613,27
N18,N31,0.022040816326530613,27
N18,N45,0.022040816326530613,27
N19,N45,0.022040816326530613,27
N21,N34,0.022040816326530613,27
N25,N36,0.022040816326530613,27
N27,N35,0.022040816326530613,27
N31,N34,0.022040816326530613,27
N04,N20,0.02122448979591837,26
N04,N33,0.02122448979591837,26
N05,N11,0.02122448979591837,26
N05,N20,0.02122448979591837,26
N05,N34,0.02122448979591837,26
N07,N19,0.02122448979591837,26
N07,N24,0.02122448979591837,26
N10,N16,0.02122448979591837,26
N11,N17,0.02122448979591837,26
N11,N44,0.02122448979591837,26
N12,N42,0.02122448979591837,26
N20,N33,0.02122448979591837,26
N20,N35,0.02122448979591837,26
N26,N27,0.02122448979591837,26
N27,N38,0.02122448979591837,26
N27,N40,0.02122448979591837,26
N34,N44,0.02122448979591837,26
N01,N12,0.02040816326530612,25
N03,N12,0.02040816326530612,25
N06,N37,0.02040816326530612,25
N07,N33,0.02040816326530612,25
N07,N38,0.02040816326530612,25
N10,N40,0.02040816326530612,25
N11,N39,0.02040816326530612,25
N12,N26,0.02040816326530612,25
N12,N33,0.02040816326530612,25
N13,N18,0.02040816326530612,25
N13,N28,0.02040816326530612,25
N17,N45,0.02040816326530612,25
N18,N34,0.02040816326530612,25
N19,N34,0.02040816326530612,25
N20,N44,0.02040816326530612,25
N27,N45,0.02040816326530612,25
N29,N33,0.02040816326530612,25
N31,N40,0.02040816326530612,25
N36,N39,0.02040816326530612,25
N01,N02,0.019591836734693877,24
N01,N42,0.019591836734693877,24
N03,N22,0.019591836734693877,24
N04,N26,0.019591836734693877,24
N04,N40,0.019591836734693877,24
N05,N12,0.019591836734693877,24
N05,N13,0.019591836734693877,24
N05,N14,0.019591836734693877,24
N05,N27,0.019591836734693877,24
N06,N11,0.019591836734693877,24
N06,N17,0.019591836734693877,24
N06,N18,0.019591836734693877,24
N07,N12,0.019591836734693877,24
N07,N36,0.019591836734693877,24
