number,count
N34,182
N27,181
N12,177
N13,176
N18,175
N45,175
N33,174
N40,172
N03,171
N37,171
N14,170
N17,170
N20,169
N38,169
N01,168
N07,168
N19,168
N15,167
N16,167
N39,167
N21,166
N31,166
N11,165
N06,164
N24,164
N26,164
N36,163
N43,163
N44,162
N10,161
N35,161
N04,160
N08,157
N30,157
N28,155
N42,155
N02,154
N05,153
N29,153
N25,152
N41,149
N23,147
N32,144
N22,143
N09,135
