symbol,company_name,entry_price,quantity,notes
083450.KQ,GST,48200.0,10.0,user reported buy price on 2026-06-02
064350.KS,현대로템,197000.0,2.0,user reported buy price on 2026-06-02
006260.KS,LS,423500.0,1.0,user reported buy price on 2026-06-02
066570.KS,LG전자,329000.0,3.0,manual buy recorded on 2026-06-05
