code,company_name,market,sector
005930,Samsung Electronics,KOSPI,Semiconductors
000660,SK hynix,KOSPI,Semiconductors
035420,NAVER,KOSPI,Internet
035720,Kakao,KOSPI,Internet
005380,Hyundai Motor,KOSPI,Autos
051910,LG Chem,KOSPI,Chemicals
