번호,개별 평점,리뷰 내용,cleaned_text
41,3,빠른배송 우선감사드려요 무난하게 쓸수있는제품같아요. 여행용사이즈로 딱,빠른배송 우선감사드려요 무난하게 쓸수있는제품같아요 여행 용사이즈로 딱
45,3,<1회 사용후기> 립스틱이 완전히 지워지지 않아요.이중세안후 이마에 소양감이 있어요.롤링느낌은 좋아요.추후 구매는 몇 번 더 사용해보고 결정할게요.,1회 사용후기 립스틱이 완전히 지워지지 않아요 이중 세안후 이마에 소양감이 있어요 롤링느낌은 좋아요 추후 구매는 몇 번 더 사용해보고 결정할게요
58,3,사용감이 부드러워 롤링이 잘 되고 세인하고 나서도 촉촉해서 좋네요. 향은 제 기준에서는 좀 강한편이네요,사용감이 부드러워 롤링이 잘 되고 세인하고 나서도 촉촉해서 좋네요 향은 제 기준에서는 좀 강한편이네요
98,3,아담사이즈로 체험해보기 딱 좋네요 아직 뭐라 말하기는 그렇지만 잘 쓰겠습니다,아담사이즈로 체험해보기 딱 좋네요 아직 뭐라 말하기는 그렇지만 잘 쓰겠습니다
120,3,배송 정말 빠르네요 아직 사용전이라 써보고 다시 후기쓸께요 기대가 큽니다 좋았으면 좋겠어요,배송 정말 빠르네요 아직 사용전이라 써보고 다시 후기쓸께요 기대가 큽니다 좋았으면 좋겠어요
121,3,배송 정말 빠르네요 아직 사용전이라 써보고 다시 후기쓸께요 기대가 큽니다 좋았으면 좋겠어요,배송 정말 빠르네요 아직 사용전이라 써보고 다시 후기쓸께요 기대가 큽니다 좋았으면 좋겠어요
141,2,태어나서 이렇게 뻑뻑한 클렌징밀크는 처음 사용법을 잘못봤나싶어서 보니까 물기 없는 손으로 하라는데 얼굴 다 벗겨질것처럼 뻑뻑함 물 조금 묻혀서 사용함 그리고 요샌 물로만 세안해도 미끄러운거 안남고 사라지는 제품 많은데 얘는 엄청 미끄러움 리얼베리어 제품 거의 다 쓰는데 얘는 진짜 최악,태어나서 이렇게 뻑뻑한 클렌징밀크는 처음 사용법을 잘못봤나싶어서 보니까 물기 없는 손으로 하라는데 얼굴 다 벗겨질것처럼 뻑뻑함 물 조금 묻혀서 사용함 그리고 요샌 물로만 세안해도 미끄러운거 안남고 사라지는 제품 많은데 얘는 엄청 미끄러움 리얼베리어 제품 거의 다 쓰는데 얘는 진짜 최악
143,3,배송 빠름.생각보다 크기가 많이 작아요,배송 빠름 생각보다 크기가 많이 작아요
