aspect,review_count,avg_rating
여행/휴대,104,4.865384615384615
자극/민감,63,4.888888888888889
세정력,56,4.875
사용감/제형,50,4.8
재구매/본품,48,4.958333333333333
보습/당김,47,4.914893617021277
가격/딜,44,4.954545454545454
배송,27,4.592592592592593
기타,11,4.909090909090909
향,7,4.571428571428571
